# WORD	TF	IDF	ATTR
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
英爵伦	1	1	n
男士短袖T恤	1	1	n
夏季体恤	1	1	n
绣花鞋	1	1	n
北京布鞋	1	1	n
民族风女鞋	1	1	n
春夏折扣	1	1	n
Stradivarius	1	1	n
16891141105	1	1	n
绣花鞋	1	1	n
北京布鞋	1	1	n
民族风女鞋	1	1	n
春夏折扣	1	1	n
Stradivarius	1	1	n
16891141105	1	1	n
绣花鞋	1	1	n
北京布鞋	1	1	n
民族风女鞋	1	1	n
春夏折扣	1	1	n
Stradivarius	1	1	n
16891141105	1	1	n
绣花鞋	1	1	n
北京布鞋	1	1	n
民族风女鞋	1	1	n
春夏折扣	1	1	n
Stradivarius	1	1	n
16891141105	1	1	n
绣花鞋	1	1	n
北京布鞋	1	1	n
民族风女鞋	1	1	n
春夏折扣	1	1	n
Stradivarius	1	1	n
16891141105	1	1	n
绣花鞋	1	1	n
北京布鞋	1	1	n
民族风女鞋	1	1	n
春夏折扣	1	1	n
Stradivarius	1	1	n
16891141105	1	1	n
绣花鞋	1	1	n
北京布鞋	1	1	n
民族风女鞋	1	1	n
春夏折扣	1	1	n
Stradivarius	1	1	n
16891141105	1	1	n
绣花鞋	1	1	n
北京布鞋	1	1	n
民族风女鞋	1	1	n
春夏折扣	1	1	n
Stradivarius	1	1	n
16891141105	1	1	n
绣花鞋	1	1	n
北京布鞋	1	1	n
民族风女鞋	1	1	n
春夏折扣	1	1	n
Stradivarius	1	1	n
16891141105	1	1	n
绣花鞋	1	1	n
